clave provincinombre establecimiento                                           localidad                              tipo organización
0073PP0064    ESCUELA DE EDUCACIÓN PRIMARIA Nº64 "HEROES DE MALVINAS"          MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0065    ESCUELA DE EDUCACIÓN PRIMARIA Nº65 "CRUCERO GENERAL BELGRANO"    MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0066    ESCUELA DE EDUCACIÓN PRIMARIA Nº66 "AMALIA SAENZ HUARTE"         FRANCISCO ALVAREZ                      ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0067    ESCUELA DE EDUCACIÓN PRIMARIA Nº67                               MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0068    ESCUELA DE EDUCACIÓN PRIMARIA Nº68 "LA TRADICION"                MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0069    ESCUELA DE EDUCACIÓN PRIMARIA Nº69                               MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0070    ESCUELA DE EDUCACIÓN PRIMARIA Nº70 "JUANA AZURDUY DE PADILLA"    MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0071    ESCUELA DE EDUCACIÓN PRIMARIA Nº71 "ALFONSINA STORNI"            MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0072    ESCUELA DE EDUCACIÓN PRIMARIA Nº72                               MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0073    ESCUELA DE EDUCACIÓN PRIMARIA Nº73 "NACION ARGENTINA"            MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0074    ESCUELA DE EDUCACIÓN PRIMARIA Nº74 "CAP. DE FRAGATA PEDRO E GIACHMORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0075    ESCUELA DE EDUCACIÓN PRIMARIA Nº75                               MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0076    ESCUELA DE EDUCACIÓN PRIMARIA Nº76 "ALICIA MOREAU DE JUSTO"      MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0077    ESCUELA DE EDUCACIÓN PRIMARIA Nº77 "DOCTOR MARIANO MORENO"       MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0078    ESCUELA DE EDUCACIÓN PRIMARIA Nº78                               LA REJA                                ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0079    ESCUELA DE EDUCACIÓN PRIMARIA Nº79 "ALMAFUERTE"                  MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0080    ESCUELA DE EDUCACIÓN PRIMARIA Nº80 EJERCITO ARGENTINO            MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0081    ESCUELA DE EDUCACIÓN PRIMARIA Nº81                               LA PERLA                               ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0082    ESCUELA DE EDUCACIÓN PRIMARIA Nº82                               LOMAS DE CASASCO                       ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0084    ESCUELA DE EDUCACION PRIMARIA Nº 84                              CUARTEL V                              ESCUELA DE EDUCACIÓN PRIMARIA
0074DC0701    CENTRO DE ADULTOS Nº701                                          NAVARRO                                CENTRO DE ADULTOS (EGBA)
0074EE0501    ESCUELA ESPECIAL Nº501 "LIBERTADOR GENERAL SAN MARTIN"           NAVARRO                                ESCUELA DE EDUCACIÓN ESPECIAL
0074EE0501    ESCUELA ESPECIAL Nº501 "LIBERTADOR GENERAL SAN MARTIN"           NAVARRO                                ESCUELA DE EDUCACIÓN ESPECIAL
0074EE0501    ESCUELA ESPECIAL Nº501 "LIBERTADOR GENERAL SAN MARTIN"           NAVARRO                                ESCUELA DE EDUCACIÓN ESPECIAL
0074EE0501    ESCUELA ESPECIAL Nº501 "LIBERTADOR GENERAL SAN MARTIN"           NAVARRO                                ESCUELA DE EDUCACIÓN ESPECIAL
0074ET0001    C.E.A.T. Nº1                                                     NAVARRO                                CENTRO DE ESTIMULACIÓN Y APRENDIZAJES TEMPRANOS
0074IS0343    EXTENSION DEL I.S.F.D Nº43 DE LOBOS (EXT. EDUC. NAVARRO)         NAVARRO                                INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
0074JI0901    JARDIN DE INFANTES Nº901 "SAN LORENZO DE NAVARRO"                NAVARRO                                JARDÍN DE INFANTES
0074JI0902    JARDIN DE INFANTES Nº902 "JOSE DE SAN MARTIN"                    NAVARRO                                JARDÍN DE INFANTES
0074JI0903    JARDIN DE INFANTES Nº903 "ARRIBEÑOS"                             VILLA MOLL                             JARDÍN DE INFANTES
0074JI0904    JARDIN DE INFANTES Nº904 "CARMEN ADRIANA RAMIREZ"                LAS MARIANAS                           JARDÍN DE INFANTES
0074JI0905    JARDIN DE INFANTES Nº905                                         NAVARRO                                JARDÍN DE INFANTES
0074JI0906    JARDIN DE INFANTES Nº906                                         JOSE JUAN ALMEYRA                      JARDÍN DE INFANTES
0074JS0001    JARDIN DE INFANTES RURAL Nº1                                     LAS MARIANAS                           JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0074JS0002    JARDIN DE INFANTES RURAL Nº2                                     LAS MARIANAS                           JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0074JS0003    JARDIN DE INFANTES RURAL Nº3                                     NAVARRO                                JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0074JS0004    JARDIN DE INFANTES RURAL Nº4                                     NAVARRO                                JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0074JS0005    JARDIN DE INFANTES RURAL Nº5                                     VILLA MOLL                             JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0074JS0006    JARDIN DE INFANTES RURAL Nº6                                     NAVARRO                                JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0074JS0007    JARDIN DE INFANTES RURAL Nº7                                     NAVARRO                                JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0074JS0008    JARDIN DE INFANTES RURAL Nº8                                     KILOMETRO 83                           JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0074JS0009    JARDIN DE INFANTES RURAL Nº9                                     NAVARRO                                JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0074JS0010    JARDIN DE INFANTES RURAL Nº10                                    NAVARRO                                JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0074JS0011    JARDIN DE INFANTES RURAL Nº11                                    NAVARRO                                JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0074MA0001    ESCUELA DE EDUCACIÓN SECUNDARIA AGRARIA Nº1                      NAVARRO                                ESCUELA AGRARIA
0074MS0001    ESCUELA DE EDUCACIÓN SECUNDARIA Nº1                              LAS MARIANAS                           ESCUELA SECUNDARIA
0074MS0002    ESCUELA DE EDUCACIÓN SECUNDARIA Nº2                              VILLA MOLL                             ESCUELA SECUNDARIA
0074MS0003    ESCUELA DE EDUCACIÓN SECUNDARIA Nº3                              NAVARRO                                ESCUELA SECUNDARIA
0074MS0004    ESCUELA DE EDUCACIÓN SECUNDARIA Nº4                              NAVARRO                                ESCUELA SECUNDARIA
0074MS2040    EXTENSION Nº1 DE ESCUELAS SECUNDARIA Nº4                         JOSE JUAN ALMEYRA                      ESCUELA SECUNDARIA
0074MT0001    ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº1 "GENERAL MANUEL SAVIONAVARRO                                ESCUELA TÉCNICA
0074MT0001    ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº1 "GENERAL MANUEL SAVIONAVARRO                                ESCUELA TÉCNICA
0074PP0001    ESCUELA DE EDUCACIÓN PRIMARIA Nº1 "CORONEL DORREGO"              NAVARRO                                ESCUELA DE EDUCACIÓN PRIMARIA
0074PP0003    ESCUELA DE EDUCACIÓN PRIMARIA Nº3 "JUAN JOSE PASO"               NAVARRO                                ESCUELA DE EDUCACIÓN PRIMARIA
0074PP0004    ESCUELA DE EDUCACIÓN PRIMARIA Nº4 "RAFAEL OBLIGADO"              NAVARRO                                ESCUELA DE EDUCACIÓN PRIMARIA
0074PP0005    ESCUELA DE EDUCACIÓN PRIMARIA Nº5 "BERNARDINO RIVADAVIA"         NAVARRO                                ESCUELA DE EDUCACIÓN PRIMARIA
0074PP0006    ESCUELA DE EDUCACIÓN PRIMARIA Nº6 "JOSE HERNANDEZ"               NAVARRO                                ESCUELA DE EDUCACIÓN PRIMARIA
0074PP0007    ESCUELA DE EDUCACIÓN PRIMARIA Nº7 "JUAN BAUTISTA ALBERDI"        NAVARRO                                ESCUELA DE EDUCACIÓN PRIMARIA
0074PP0008    ESCUELA DE EDUCACIÓN PRIMARIA Nº8 "ALMAFUERTE"                   VILLA MOLL                             ESCUELA DE EDUCACIÓN PRIMARIA
0074PP0009    ESCUELA DE EDUCACIÓN PRIMARIA Nº9 "VICENTE LOPEZ Y PLANES"       NAVARRO                                ESCUELA DE EDUCACIÓN PRIMARIA
0074PP0010    ESCUELA DE EDUCACIÓN PRIMARIA Nº10 "JULIO ARGENTINO ROCA"        NAVARRO                                ESCUELA DE EDUCACIÓN PRIMARIA
0074PP0011    ESCUELA DE EDUCACIÓN PRIMARIA Nº11 "HIPOLITO YRIGOYEN"           NAVARRO                                ESCUELA DE EDUCACIÓN PRIMARIA
0074PP0012    ESCUELA DE EDUCACIÓN PRIMARIA Nº12 "MARIA SANCHEZ DE THOMPSON"   NAVARRO                                ESCUELA DE EDUCACIÓN PRIMARIA
0074PP0013    ESCUELA DE EDUCACIÓN PRIMARIA Nº13 "NICOLAS AVELLANEDA"          NAVARRO                                ESCUELA DE EDUCACIÓN PRIMARIA
0074PP0014    ESCUELA DE EDUCACIÓN PRIMARIA Nº14 "PAULA ALBARRACIN DE SARMIENTONAVARRO                                ESCUELA DE EDUCACIÓN PRIMARIA
0074PP0015    ESCUELA DE EDUCACIÓN PRIMARIA Nº15 "ORFELIA LESCANO"             NAVARRO                                ESCUELA DE EDUCACIÓN PRIMARIA
0074PP0016    ESCUELA DE EDUCACIÓN PRIMARIA Nº16 "MARTIN FIERRO"               LAS MARIANAS                           ESCUELA DE EDUCACIÓN PRIMARIA
0074PP0017    ESCUELA DE EDUCACIÓN PRIMARIA Nº17 "EJERCITO DE LOS ANDES"       NAVARRO                                ESCUELA DE EDUCACIÓN PRIMARIA
0074PP0018    ESCUELA DE EDUCACIÓN PRIMARIA Nº18 "GENERAL JOSE DE SAN MARTIN"  LAS MARIANAS                           ESCUELA DE EDUCACIÓN PRIMARIA
0074PP0019    ESCUELA DE EDUCACIÓN PRIMARIA Nº19 "JOSE MANUEL ESTRADA"         VILLA MOLL                             ESCUELA DE EDUCACIÓN PRIMARIA
0074PP0020    ESCUELA DE EDUCACIÓN PRIMARIA Nº20 "BARTOLOME MITRE"             VILLA MOLL                             ESCUELA DE EDUCACIÓN PRIMARIA
0074PP0021    ESCUELA DE EDUCACIÓN PRIMARIA Nº21 "DOMINGO FAUSTINO SARMIENTO"  NAVARRO                                ESCUELA DE EDUCACIÓN PRIMARIA
0074PP0022    ESCUELA DE EDUCACIÓN PRIMARIA Nº22 "FRANCISCO NARCISO DE LAPRIDA"NAVARRO                                ESCUELA DE EDUCACIÓN PRIMARIA
0074PP0023    ESCUELA DE EDUCACIÓN PRIMARIA Nº23 "REMEDIOS ESCALADA DE SAN MARTNAVARRO                                ESCUELA DE EDUCACIÓN PRIMARIA
0074PP0024    ESCUELA DE EDUCACIÓN PRIMARIA Nº24 "ANTARTIDA ARGENTINA"         NAVARRO                                ESCUELA DE EDUCACIÓN PRIMARIA
0074PP0025    ESCUELA DE EDUCACIÓN PRIMARIA Nº25 "JUAN BAUTISTA CABRAL"        NAVARRO                                ESCUELA DE EDUCACIÓN PRIMARIA
0074PP0026    ESCUELA DE EDUCACIÓN PRIMARIA Nº26 "JUSTO JOSE DE URQUIZA"       NAVARRO                                ESCUELA DE EDUCACIÓN PRIMARIA
0074PP0029    ESCUELA DE EDUCACIÓN PRIMARIA Nº29 "ALMIRANTE GUILLERMO BROWN"   NAVARRO                                ESCUELA DE EDUCACIÓN PRIMARIA
0074PP0031    ESCUELA DE EDUCACIÓN PRIMARIA Nº31 "LUCIO V. MANSILLA"           LAS MARIANAS                           ESCUELA DE EDUCACIÓN PRIMARIA
0074PP0032    ESCUELA DE EDUCACIÓN PRIMARIA Nº32 "HIPOLITO ALMEYRA"            JOSE JUAN ALMEYRA                      ESCUELA DE EDUCACIÓN PRIMARIA
0075AA0001    ESCUELA DE ARTE Nº500 "ORILLAS DEL QUEQUEN"                      NECOCHEA                               ESCUELA DE ARTE
0075AA0001    ESCUELA DE ARTE Nº500 "ORILLAS DEL QUEQUEN"                      NECOCHEA                               ESCUELA DE ARTE
0075AA0001    ESCUELA DE ARTE Nº500 "ORILLAS DEL QUEQUEN"                      NECOCHEA                               ESCUELA DE ARTE
0075BS0001    ESC. SECUNDARIA BASICA Nº1                                       NECOCHEA                               ESCUELA SECUNDARIA BÁSICA
0075BS0002    ESC. SECUNDARIA BASICA Nº2                                       NECOCHEA                               ESCUELA SECUNDARIA BÁSICA
0075DC0705    CENTRO DE ADULTOS Nº705/03                                       NECOCHEA                               CENTRO DE ADULTOS (EGBA)
0075DC0706    CENTRO DE ADULTOS Nº706/01                                       NECOCHEA                               CENTRO DE ADULTOS (EGBA)
0075DC0707    CENTRO DE ADULTOS Nº707/02                                       QUEQUEN                                CENTRO DE ADULTOS (EGBA)
0075DC0708    CENTRO DE ADULTOS Nº708/02                                       QUEQUEN                                CENTRO DE ADULTOS (EGBA)
0075DC0709    CENTRO DE ADULTOS Nº709/02                                       QUEQUEN                                CENTRO DE ADULTOS (EGBA)
0075DC0710    CENTRO DE EDUCACION DE ADULTOS Nº710                             JUAN N FERNANDEZ                       CENTRO DE ADULTOS (EGBA)
0075DC0711    CENTRO DE ADULTOS Nº711/03                                       NECOCHEA                               CENTRO DE ADULTOS (EGBA)
0075DE0701    ESCUELA DE ADULTOS Nº701 "REPUBLICA DEL PERU"                    NECOCHEA                               ESCUELA DE ADULTOS (EGBA)
0075DE0702    ESCUELA DE ADULTOS Nº702 "RENE FAVOLORO"                         QUEQUEN                                ESCUELA DE ADULTOS (EGBA)
0075DE0703    ESCUELA DE ADULTOS Nº703 "FLORENCIO MOLINA CAMPOS"               NECOCHEA                               ESCUELA DE ADULTOS (EGBA)
0075DM0451    CENTRO EDUCATIVO NIVEL SECUNDARIO Nº451                          NECOCHEA                               CENTRO EDUCATIVO DE NIVEL SECUNDARIO (C.E.N.S.)
0075DM0451    CENTRO EDUCATIVO NIVEL SECUNDARIO Nº451                          NECOCHEA                               CENTRO EDUCATIVO DE NIVEL SECUNDARIO (C.E.N.S.)
0075EE0501    ESCUELA ESPECIAL Nº501 "ANGEL I. MURGA"                          NECOCHEA                               ESCUELA DE EDUCACIÓN ESPECIAL
0075EE0501    ESCUELA ESPECIAL Nº501 "ANGEL I. MURGA"                          NECOCHEA                               ESCUELA DE EDUCACIÓN ESPECIAL
0075EE0501    ESCUELA ESPECIAL Nº501 "ANGEL I. MURGA"                          NECOCHEA                               ESCUELA DE EDUCACIÓN ESPECIAL
0075EE0501    ESCUELA ESPECIAL Nº501 "ANGEL I. MURGA"                          NECOCHEA                               ESCUELA DE EDUCACIÓN ESPECIAL
0075EE0502    ESCUELA ESPECIAL Nº502                                           NECOCHEA                               ESCUELA DE EDUCACIÓN ESPECIAL
0075EE0502    ESCUELA ESPECIAL Nº502                                           NECOCHEA                               ESCUELA DE EDUCACIÓN ESPECIAL
0075EE0502    ESCUELA ESPECIAL Nº502                                           NECOCHEA                               ESCUELA DE EDUCACIÓN ESPECIAL
0075EE0502    ESCUELA ESPECIAL Nº502                                           NECOCHEA                               ESCUELA DE EDUCACIÓN ESPECIAL
0075EE0503    ESCUELA ESPECIAL Nº503                                           QUEQUEN                                ESCUELA DE EDUCACIÓN ESPECIAL
0075EE0503    ESCUELA ESPECIAL Nº503                                           QUEQUEN                                ESCUELA DE EDUCACIÓN ESPECIAL
0075EE0503    ESCUELA ESPECIAL Nº503                                           QUEQUEN                                ESCUELA DE EDUCACIÓN ESPECIAL
0075EE0503    ESCUELA ESPECIAL Nº503                                           QUEQUEN                                ESCUELA DE EDUCACIÓN ESPECIAL
0075ET0001    C.E.A.T. Nº1                                                     QUEQUEN                                CENTRO DE ESTIMULACIÓN Y APRENDIZAJES TEMPRANOS
0075ET0002    C.E.A.T.Nº2                                                      NECOCHEA                               CENTRO DE ESTIMULACIÓN Y APRENDIZAJES TEMPRANOS
0075IS0031    INSTITUTO SUPERIOR DE FORMACION DOCENTE Nº31                     NECOCHEA                               INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
0075IS0163    INSTITUTO SUPERIOR DE FORMACION DOCENTE Nº163 "J.M.ESTRADA"      NECOCHEA                               INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
0075JI0901    JARDIN DE INFANTES Nº901 "GENERAL MARIANO NECOCHEA"              NECOCHEA                               JARDÍN DE INFANTES
0075JI0902    JARDIN DE INFANTES Nº902                                         NECOCHEA                               JARDÍN DE INFANTES
0075JI0903    JARDIN DE INFANTES Nº903 "ENRIQUE BALECH"                        NECOCHEA                               JARDÍN DE INFANTES
0075JI0904    JARDIN DE INFANTES Nº904 "ANTONIO CIANCAGLINI"                   NICANOR OLIVERA                        JARDÍN DE INFANTES
0075JI0905    JARDIN DE INFANTES Nº905                                         JUAN N FERNANDEZ                       JARDÍN DE INFANTES
0075JI0906    JARDIN DE INFANTES Nº906 "NARCISO M OCAMPO"                      CLARAZ                                 JARDÍN DE INFANTES
0075JI0907    JARDIN DE INFANTES Nº907 "ISLAS MALVINAS"                        RAMON SANTAMARINA                      JARDÍN DE INFANTES
